cell,move_class,response,n_pairs,mean_out_minus_in,median_out_minus_in,sign_pos,sign_n,sign_p
E1E2_f109,fresh_relocate,F_xy,40,-0.1282775,-0.1534500000000001,11,40,0.006426576095691416
E1E2_f109,fresh_relocate,F_r,40,-0.10610499999999998,-0.1441,10,40,0.0022214337732293643
E1E2_f109,fresh_relocate,node_peak,40,-0.024977508187294006,-0.028250038623809814,11,40,0.006426576095691416
E1E2_f109,fresh_relocate,cyclen,40,-3.1615750000000133,-2.007499999999993,6,40,8.364584573428147e-06
E1E2_f121,fresh_relocate,F_xy,40,-0.06767999999999999,-0.07935000000000003,12,40,0.01658900337497471
E1E2_f121,fresh_relocate,F_r,40,-0.0673525,-0.053650000000000087,4,40,1.8570244719740003e-07
E1E2_f121,fresh_relocate,node_peak,40,-0.037780001759529114,-0.019999980926513672,13,40,0.03847730828420026
E1E2_f121,fresh_relocate,cyclen,40,-0.28249999999999886,-0.27850000000006503,13,40,0.03847730828420026
HGD569_f125,batch_swap,F_xy,19,-0.028463157894736864,-0.01550000000000007,9,19,1.0
HGD569_f125,batch_swap,F_r,19,-0.017731578947368373,-0.012899999999999912,7,19,0.359283447265625
HGD569_f125,batch_swap,node_peak,19,-0.007905257375616776,-0.009599924087524414,9,19,1.0
HGD569_f125,batch_swap,cyclen,19,0.5726315789473801,0.24700000000007094,11,19,0.6476058959960938
HGD569_f125,fresh_relocate,F_xy,36,-0.005297222222222219,-0.01934999999999998,17,36,0.8679394004284404
HGD569_f125,fresh_relocate,F_r,36,-0.010322222222222208,-0.004449999999999954,16,36,0.617719317029696
HGD569_f125,fresh_relocate,node_peak,36,-0.03116110960642497,-0.01894998550415039,11,36,0.028816719655878842
HGD569_f125,fresh_relocate,cyclen,36,-0.8118888888888907,-0.3879999999999768,14,36,0.2429849540349096
N1N2_f113,fresh_relocate,F_xy,39,-0.07713589743589742,-0.10560000000000014,14,39,0.10812902140605729
N1N2_f113,fresh_relocate,F_r,39,-0.05118717948717952,-0.05520000000000014,17,39,0.5223973804968409
N1N2_f113,fresh_relocate,node_peak,39,-0.01864615159156995,-0.01230001449584961,18,39,0.7492586247608415
N1N2_f113,fresh_relocate,cyclen,39,-1.0122307692307686,-1.2939999999999827,11,39,0.009475304279476404
T6T4_f121,batch_swap,F_xy,17,-0.05185882352941176,-0.031200000000000117,6,17,0.332305908203125
T6T4_f121,batch_swap,F_r,19,-0.017910526315789477,-0.008200000000000207,8,19,0.6476058959960938
T6T4_f121,batch_swap,node_peak,19,-6.317464928877981e-05,0.027199983596801758,10,19,1.0
T6T4_f121,batch_swap,cyclen,19,-0.07573684210527924,-0.023000000000024556,9,19,1.0
T6T4_f121,fresh_relocate,F_xy,36,0.01122222222222222,0.008550000000000058,20,36,0.617719317029696
T6T4_f121,fresh_relocate,F_r,40,0.0133025,0.0031000000000001027,21,40,0.8746293123804207
T6T4_f121,fresh_relocate,node_peak,40,0.015469995141029359,0.014850020408630371,23,40,0.42959050784338615
T6T4_f121,fresh_relocate,cyclen,40,-0.5171249999999901,-0.29400000000003956,18,40,0.6358280026288412
