cell,move_class,fresh_radial_dir,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
E1E2_f109,batch_flip,neutral,20,20,-0.0027150000000000342,-0.014349999999999974,0.75,20,0.009970000000000001,-0.00945000000000007,0.65,20,-0.006129992003512563,-0.014999985669012506,0.7,20,0.5950500000000034,0.6150000000000091,1.0
E1E2_f109,batch_swap,neutral,40,40,0.07498750000000001,0.07314999999999994,0.05,40,0.13116750000000002,0.12785000000000002,0.0,40,0.13469999731056673,0.1352999806353028,0.0,40,-0.6917999999999978,-0.6114999999999782,0.0
E1E2_f109,fresh_relocate,inward,40,40,0.2885475,0.31265,0.125,40,0.2387725,0.24929999999999997,0.0,40,0.09905500114433748,0.08665001389089355,0.125,40,-0.27252499999999313,-0.27800000000002,0.225
E1E2_f109,fresh_relocate,outward,40,40,0.16027,0.18805000000000005,0.075,40,0.1326675,0.14390000000000014,0.05,40,0.07407749295704347,0.05534994603577892,0.25,40,-3.4341000000000066,-2.4675000000000296,0.1
E1E2_f109,rewire_swap,neutral,20,20,0.0038250000000000007,0.0022999999999999687,0.3,20,0.00940000000000003,0.0040000000000000036,0.35,20,0.015780007843899546,0.00394999979648436,0.2,20,0.02279999999999518,-0.010500000000035925,0.3
E1E2_f121,batch_flip,neutral,20,20,0.02251000000000003,0.02695000000000003,0.15,20,0.02043499999999997,0.01880000000000004,0.0,20,0.01537502408826109,0.016950070842340126,0.05,20,-0.35919999999999846,-0.3714999999999691,0.05
E1E2_f121,batch_swap,neutral,40,40,0.07548250000000004,0.062100000000000044,0.1,40,0.07086250000000001,0.04344999999999999,0.125,40,0.05783000887238737,0.06490004065160515,0.05,40,-0.03332499999999925,-0.15850000000000364,0.35
E1E2_f121,fresh_relocate,inward,40,40,0.13738750000000002,0.13785000000000003,0.025,40,0.10569249999999997,0.08404999999999996,0.0,40,0.0488100141366696,0.022100090977642872,0.25,40,-0.38169999999999504,-0.3464999999999918,0.275
E1E2_f121,fresh_relocate,outward,40,40,0.06970750000000002,0.06164999999999998,0.025,40,0.038339999999999985,0.027450000000000085,0.075,40,0.011030012377140486,0.004900038220294278,0.35,40,-0.6641999999999939,-0.5330000000000155,0.1
E1E2_f121,rewire_swap,neutral,20,20,0.006565000000000043,0.0009000000000000119,0.35,20,0.007209999999999994,0.00044999999999995044,0.35,20,0.007605022199985945,0.0006999969295532482,0.35,20,0.02955000000000041,0.014999999999986358,0.55
HGD569_f125,batch_flip,inward,10,10,0.11026,0.11049999999999993,0.1,10,0.09723,0.08430000000000004,0.0,10,0.05026999712028564,0.041199982199194296,0.0,10,35.2534,35.0,1.0
HGD569_f125,batch_flip,outward,10,10,0.09173000000000002,0.10085,0.1,10,0.07619000000000001,0.07640000000000002,0.0,10,0.027250003829106452,0.023550093169976805,0.0,10,34.629900000000006,34.83949999999999,1.0
HGD569_f125,batch_swap,inward,20,20,0.10099500000000002,0.1067999999999999,0.1,20,0.08671,0.08089999999999997,0.0,20,0.03876000047469604,0.026950001745208674,0.0,20,34.94165,34.940499999999986,1.0
HGD569_f125,batch_swap,outward,20,20,0.10099500000000002,0.1067999999999999,0.1,20,0.08671,0.08089999999999997,0.0,20,0.03876000047469604,0.026950001745208674,0.0,20,34.94165,34.940499999999986,1.0
HGD569_f125,fresh_relocate,inward,36,36,0.17883888888888888,0.16464999999999996,0.027777777777777776,36,0.13988055555555556,0.14005,0.0,36,0.0680277778128584,0.055649995786419604,0.05555555555555555,36,34.997500000000024,35.35300000000001,1.0
HGD569_f125,fresh_relocate,outward,37,37,0.17719459459459458,0.15799999999999992,0.05405405405405406,37,0.1322027027027027,0.12400000000000011,0.0,37,0.05969459624797428,0.06050002576005853,0.02702702702702703,37,33.87216216216217,34.08000000000004,1.0
HGD569_f125,rewire_swap,neutral,20,20,0.105635,0.11539999999999995,0.05,20,0.098175,0.11025000000000007,0.0,20,0.049289989478831175,0.05180001260527345,0.0,20,35.053250000000006,35.05799999999999,1.0
N1N2_f113,batch_flip,neutral,20,20,0.006015000000000015,0.0008500000000000174,0.35,20,0.007240000000000002,0.00714999999999999,0.1,20,0.008844971654486066,0.010800004005426023,0.15,20,-0.26260000000000333,-0.18500000000000227,0.0
N1N2_f113,batch_swap,neutral,40,40,0.018429999999999985,0.005449999999999955,0.25,40,0.0292875,0.01640000000000008,0.325,40,0.03755747377641142,0.025899946710540744,0.3,40,0.10007500000000391,0.08899999999994179,0.725
N1N2_f113,fresh_relocate,inward,39,39,0.18010256410256412,0.21499999999999986,0.1794871794871795,39,0.132048717948718,0.15270000000000006,0.15384615384615385,39,0.0523153696288524,0.023299932523315414,0.1794871794871795,39,-0.3694615384615324,0.4250000000000682,0.5641025641025641
