cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds,tier_reached,binding_constraint,binding_excess_pct,min_f_r,min_cbc_max,min_f_q,min_ao_abs,n_feasible_tier1,cyclen_tier1,f_r_tier1,sigma_cyclen_tier1,B_cycle_tier1,B_d_tier1,record_id_tier1,n_feasible_tier2,cyclen_tier2,f_r_tier2,sigma_cyclen_tier2,B_cycle_tier2,B_d_tier2,record_id_tier2,n_feasible_tier3,cyclen_tier3,f_r_tier3,sigma_cyclen_tier3,B_cycle_tier3,B_d_tier3,record_id_tier3
e5.0_f109,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5653749008479187,592.8294884370061,592.8294884370061,3.72528626169347,3934,489,1763,177,False,,,0,,,,,162.3,tier2,f_r,0.9919290869625064,1.5653749008479187,1053.3810630625846,1.9056757455118387,0.021890855289168253,0,,,,,,,123,590.8905552827605,1.6488406003438283,2.2842234450110053,23.066574463874318,51.00040775957533,19019229cc866899e588b1d6bf1a9f132fdc96ac43c925d3a6ce0b59d0ebcdaf,506,590.8905552827605,1.6488406003438283,2.2842234450110053,23.066574463874318,51.00040775957533,19019229cc866899e588b1d6bf1a9f132fdc96ac43c925d3a6ce0b59d0ebcdaf
e5.0_f113,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,113,0.42337,102.031,1200,1200,1,606.835279706024,1.1171874912679438,1.5456686128521286,1.9273333940328587,1261.7708595576014,0.04272188949485935,77.80806785306557,23.689008127650116,50.522574856315735,1.5456686128521286,609.7196578123089,,,763,134,751,134,False,dfb3fb07ca892132642adb3f0663dee1de1b2aa8646e9f52b3791c4db5a285b9,elite,1,1.5456686128521286,606.835279706024,0.0,0.0,164.1,tier1,f_r,-0.2794443321207374,1.5456686128521286,1054.5152864582974,1.9273333940328587,0.022747277222892336,1,606.835279706024,1.5456686128521286,1.1171874912679438,23.689008127650116,50.522574856315735,dfb3fb07ca892132642adb3f0663dee1de1b2aa8646e9f52b3791c4db5a285b9,167,607.4607859123494,1.644753275597282,2.758511087992405,23.713425992103737,50.574651894663724,32ee8b557e6dc87cc65f327fe77542bf3929ba2c1547effcc63ff307c65008a9,657,609.7196578123089,1.6641685773604393,2.2923133575290717,23.80160549746042,50.762716149450995,a00344583ea41ca6581913b4b247eb1af4013a1facd0e03bc5069f4b9e9a091e
e5.0_f117,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,117,0.42337,102.031,1200,1200,70,624.2856582509603,1.6842926406819627,1.5332240679806823,1.9389687530318975,1309.4712395138827,0.039485971761315575,76.0865039414245,24.370217960047842,50.198483148474615,1.5112959338438343,627.5767556464664,,,3587,796,2213,501,False,3720b88df81d3f3d41316c8dd7342bff4c3aa7237ee2a4a44981cdcda0518a6b,elite,5,1.5112959338438343,621.55057040159,2.735087849370302,0.02192813413684802,198.5,tier1,f_r,-2.4970365262042438,1.5112959338438343,1167.1895030204064,1.8805433039338613,0.019669384333981334,70,624.2856582509603,1.5332240679806823,1.6842926406819627,24.370217960047842,50.198483148474615,3720b88df81d3f3d41316c8dd7342bff4c3aa7237ee2a4a44981cdcda0518a6b,610,625.3254482127152,1.6117960466355454,0.2792998745943146,24.410808205339762,50.2820921152725,4ea9df8b12936840c8d8cb7ce8fa8b7beb3f09d1292a3b1592cb15e00bfbdf42,823,626.3846370476722,1.7858461483116705,1.7978388264923744,24.452155723783594,50.367260935314924,4b4151aeacc4eaef50e070c201647db456fa634756ec98c4f8625d3b811e4b88
e5.0_f121,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,121,0.42337,102.031,1200,1200,377,639.1590636181631,1.4880845419031583,1.5454371502192032,1.9428612929274935,1330.5473121469859,0.038937784380813495,69.97775099332394,24.950830578352086,49.69545594531284,1.4943275732383727,641.082402255651,,,44292,1317,3450,1097,True,140cb9d0b746640ff44ea33c91d1c5ce7ac6cd4846e262e9e1ddfe07bcf189b4,elite,12,1.4943275732383727,636.6043608239768,2.554702794186369,0.05110957698083052,162.2,tier1,f_r,-3.59176946849209,1.4943275732383727,1222.3129202601212,1.8574227495785847,0.020787144761087988,377,639.1590636181631,1.5454371502192032,1.4880845419031583,24.950830578352086,49.69545594531284,140cb9d0b746640ff44ea33c91d1c5ce7ac6cd4846e262e9e1ddfe07bcf189b4,775,640.7824990039712,1.6471123279139106,1.9589436867530652,25.014204570167053,49.82168017694429,9c8a7daf386162b2ddf5bcb5df876910207cd6deee58b00f8117b40321adfc84,894,640.8460246785355,1.6624995915920278,2.1559256001575977,25.01668441975951,49.82661938150448,bf68c965a782cad580c9783cbdc53f8bbbfae676f121caa4f584de80ddf6d15f
e5.0_f125,5.0,5.0,1,ga80,E1_E2,5.0,0.0,5.0,125,0.42337,102.031,1200,1200,47,648.6394402241764,2.1419795412013802,1.5469962497972634,1.951578766974952,1350.3592568111908,0.036929780116139385,70.1209325929136,25.320915716747184,48.81872550188857,1.4934429190745233,651.0256574114294,,,4052,710,2200,450,False,7eab6d8c1acabab57758f64fd56a4baaaaa835e704dca0f6f85948bd6d7eab2f,elite,5,1.4934429190745233,642.4727069661806,6.166733257995816,0.053553330722740045,169.0,tier1,f_r,-3.6488439306759157,1.4934429190745233,1200.8362396235543,1.8846917735737185,0.02064425189904598,47,648.6394402241764,1.5469962497972634,2.1419795412013802,25.320915716747184,48.81872550188857,7eab6d8c1acabab57758f64fd56a4baaaaa835e704dca0f6f85948bd6d7eab2f,632,649.93483729507,1.6470150193843147,2.902551983677288,25.37148408804524,48.916221321751216,fba15ea5d2d9352b24b0ed3ab9fdd2ed09dc0b818da81513def484965725680a,836,649.93483729507,1.6470150193843147,2.902551983677288,25.37148408804524,48.916221321751216,fba15ea5d2d9352b24b0ed3ab9fdd2ed09dc0b818da81513def484965725680a
e5.0_f129,5.0,5.0,1,ga80,E1_E2,5.0,0.0,,129,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5525333520196276,657.97768229708,657.97768229708,2.197270006724043,274,28,262,20,False,,,0,,,,,186.9,tier2,f_r,0.16344206578242648,1.5525333520196276,1225.7527607004201,2.023775858972252,0.024673150566000494,0,,,,,,,350,654.8126699716147,1.624706864331047,2.864496519646599,25.56189987596047,47.755177287647086,b0aa5f4c523674b31f7de67db82e5e4cbe22ea60bfc3e6e6cbedad2e61de32e3,582,655.6155205788932,1.7157022982300234,3.1964773440001086,25.59324072774866,47.813728801452925,a7520a662371d5c9900b46e82bf5a3be51435991178d7af05e72cba6168ba2c0
e5.1_f109,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.604991478650145,599.5590521252643,599.5590521252643,1.6485854446159312,3934,223,1763,223,False,,,0,,,,,179.9,tier2,f_r,3.5478373322674006,1.604991478650145,1043.4826921280671,1.99395492227775,0.02858725073050049,0,,,,,,,23,599.5590521252643,1.6485854446159312,1.5832849780699947,23.404966279617238,51.748595168695,53efdfaf295d204f86c2a3cdb053e25211c4bf488ae2a9ef339c5f7940e1b9cc,525,599.5590521252643,1.6485854446159312,1.5832849780699947,23.404966279617238,51.748595168695,53efdfaf295d204f86c2a3cdb053e25211c4bf488ae2a9ef339c5f7940e1b9cc
e5.1_f113,5.1,5.1,1,ga80,J1_J2,5.1,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5965112524265004,617.2934360224814,617.2934360224814,1.62378604614613,763,44,751,44,False,,,0,,,,,182.0,tier2,f_r,3.0007259630000283,1.5965112524265004,1092.5640841754648,2.0277630388875636,0.029026868360673537,0,,,,,,,298,617.2934360224814,1.62378604614613,0.8245009362904884,24.097262819270572,51.393277340214226,cf01fa87e8e655af094dd010a18f2f645b77b0c831c881f294e2ea3db0ceb4c1,791,617.2934360224814,1.62378604614613,0.8245009362904884,24.097262819270572,51.393277340214226,cf01fa87e8e655af094dd010a18f2f645b77b0c831c881f294e2ea3db0ceb4c1
e5.1_f117,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,117,0.42337,102.031,1200,1200,67,632.7417623494998,0.9764669797468748,1.5424678354236985,1.9482116933549691,1300.5644535639622,0.04794790445721524,73.0507292950617,24.700318607484817,50.87843405473368,1.519090433479954,632.7916586629497,,,3587,364,2213,338,False,ca6640302b6ecfb2e74aee72dce0a9f1082789f8bf69dd3b1a9dbef6068290ba,elite,5,1.519090433479954,624.9102798171535,7.8314825323462856,0.02337740194374449,178.4,tier1,f_r,-1.9941655819384563,1.519090433479954,1153.6573506912246,1.9086452731913073,0.02134467239832323,67,632.7417623494998,1.5424678354236985,0.9764669797468748,24.700318607484817,50.87843405473368,ca6640302b6ecfb2e74aee72dce0a9f1082789f8bf69dd3b1a9dbef6068290ba,644,632.7417623494998,1.5424678354236985,0.9764669797468748,24.700318607484817,50.87843405473368,ca6640302b6ecfb2e74aee72dce0a9f1082789f8bf69dd3b1a9dbef6068290ba,762,632.7916586629497,1.6804396407225308,1.4607472501994037,24.70226640817206,50.882446191192024,3158bcc0822ceb0943f955c99cfda0f5327bc2220bf0ba5c4a1c945040434914
e5.1_f121,5.1,5.1,1,ga80,J1_J2,5.1,0.0,5.1,121,0.42337,102.031,1200,1200,272,643.7186604206547,0.5223087063176828,1.5466450030229415,1.9382771564685395,1315.647017862934,0.044972991449193485,71.70605405158406,25.128823403300157,50.04997058012676,1.4937424277736882,646.2465224422393,,,44292,408,3450,150,True,85f685330b3d6dc246b843c77456cd1e40838e96dfbb6fcb7a11e7712e8c1e58,guided,8,1.4937424277736882,634.6685920076169,9.05006841303782,0.05290257524925335,173.0,tier1,f_r,-3.629520788794316,1.4937424277736882,1175.4922661220025,1.851144087022838,0.02211019018924961,272,643.7186604206547,1.5466450030229415,0.5223087063176828,25.128823403300157,50.04997058012676,85f685330b3d6dc246b843c77456cd1e40838e96dfbb6fcb7a11e7712e8c1e58,760,646.2465224422393,1.624358556131097,1.4130683358608112,25.227503466865194,50.246515169541425,937c25090dc4a4285ca6a4d071bdfd57ba8a4aa7752aa52b05e6c3a4ce018daa,887,646.2465224422393,1.624358556131097,1.4130683358608112,25.227503466865194,50.246515169541425,937c25090dc4a4285ca6a4d071bdfd57ba8a4aa7752aa52b05e6c3a4ce018daa
